,MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs
2G3020798+0003142,2G3020798+0003142,302.0799,0.0314,0.37,0.99,0.8,0.9,0.25,28,100,0.59,0.17,0.41,R,,1G302079+000292,G302.076+00.029,,,Simbad,190.9935,-62.828
2G3463270-0017328,2G3463270-0017328,346.3271,-0.1733,0.07,0.37,0.2,0.3,0.06,29,86,0.85,0.13,0.2,R,,1G346327-001731,G346.327-00.174,,,Simbad,257.2952,-40.3963
2G0338290-0016215,2G0338290-0016215,33.829,-0.1621,0.12,0.24,0.19,0.21,0.08,66,81,0.62,0.14,0.1,R,,1G033830-001622,G033.829-00.163,,,Simbad,283.4128,0.7245
2G3118893+0008456,2G3118893+0008456,311.8894,0.0846,1.26,1.68,1.31,1.5,0.64,28,101,0.63,0.07,0.22,R,,1G311893+000861,G311.893+00.086,5.7,,Simbad,211.8772,-61.4571
2G3389133+0060595,2G3389133+0060595,338.9133,0.606,0.58,2.53,2.05,2.3,0.39,52,15,0.59,,0.33,C,D,1G338920+006008,,,S29,Simbad,250.0755,-45.6696
2G0368465-0013559,2G0368465-0013559,36.8466,-0.1356,0.09,0.4,0.29,0.35,0.05,42,63,0.7,,0.23,C,,1G036847-001361,G036.848-00.137,,,Simbad,284.7676,3.4215
2G0340879+0044049,2G0340879+0044049,34.0879,0.4405,0.2,0.67,0.43,0.56,0.3,56,106,0.77,0.2,0.67,R,,1G034088+004405,G034.089+00.438,11.8,,Simbad,282.9945,1.2297
2G0443311-0084125,2G0443311-0084125,44.3311,-0.8413,0.82,2.31,1.55,1.97,0.59,17,94,0.74,0.45,0.47,R,,1G044332-008343,G044.331-00.837,6.1,N92,Simbad,288.8687,9.7405
2G3544645+0007160,2G3544645+0007160,354.4646,0.0716,0.38,1.33,1.15,1.24,0.45,18,105,0.5,0.55,0.54,R,,1G354465+000747,G354.465+00.079,,CS48,Simbad,262.8731,-33.5774
2G0106232-0031596,2G0106232-0031596,10.6233,-0.316,0.23,0.56,0.38,0.48,0.13,37,84,0.72,0.18,0.31,R,,1G010624-003166,G010.621-00.318,19.8,,Simbad,272.5564,-19.8979
